audio_path1,audio_path2,label
cat\common_voice_en_2354357.opus,cat\common_voice_en_18098228.opus,1
yes\common_voice_en_17286408.opus,uno\common_voice_es_20242403.opus,0
tres\common_voice_es_18797464.opus,tres\common_voice_es_19554819.opus,1
seven\common_voice_en_681764.opus,down\common_voice_en_461775.opus,0
seven\common_voice_en_19757974.opus,tres\common_voice_es_19634035.opus,0
sheila\common_voice_en_19668630.opus,off\common_voice_en_682222.opus,0
marvin\common_voice_en_20025795.opus,seven\common_voice_en_17505558.opus,0
juego\common_voice_es_19375276.opus,juego\common_voice_es_19139926.opus,1
sheila\common_voice_en_18771680.opus,sheila\common_voice_en_18890773.opus,1
dos\common_voice_es_19123403.opus,dos\common_voice_es_19801362.opus,1
off\common_voice_en_671338.opus,forward\common_voice_en_193069.opus,0
zero\common_voice_en_17282157.opus,ocho\common_voice_es_20629637.opus,0
cinco\common_voice_es_19512897.opus,eight\common_voice_en_21940583.opus,0
dos\common_voice_es_20797116.opus,dos\common_voice_es_20598157.opus,1
two\common_voice_en_218285.opus,two\common_voice_en_18404165.opus,1
follow\common_voice_en_22445078.opus,follow\common_voice_en_17847044.opus,1
bird\common_voice_en_17343762.opus,bird\common_voice_en_547714.opus,1
color\common_voice_es_20748248.opus,seven\common_voice_en_20304710.opus,0
house\common_voice_en_693928.opus,off\common_voice_en_44424.opus,0
color\common_voice_es_19668444.opus,six\common_voice_en_22024641.opus,0
six\common_voice_en_21013822.opus,bed\common_voice_en_17297360.opus,0
vida\common_voice_es_20268570.opus,vida\common_voice_es_19558976.opus,1
nueve\common_voice_es_20578344.opus,nueve\common_voice_es_19597378.opus,1
nombre\common_voice_es_19672804.opus,tree\common_voice_en_84257.opus,0
siete\common_voice_es_19734214.opus,cinco\common_voice_es_19141212.opus,0
cinco\common_voice_es_19769266.opus,tres\common_voice_es_20625963.opus,0
learn\common_voice_en_17283915.opus,wow\common_voice_en_575773.opus,0
universidad\common_voice_es_20528330.opus,tree\common_voice_en_509052.opus,0
wow\common_voice_en_19521483.opus,wow\common_voice_en_15904632.opus,1
color\common_voice_es_19190149.opus,color\common_voice_es_19721916.opus,1
ciudad\common_voice_es_19729223.opus,cuatro\common_voice_es_20559152.opus,0
canción\common_voice_es_20595970.opus,follow\common_voice_en_18843239.opus,0
one\common_voice_en_17247871.opus,seis\common_voice_es_20146553.opus,0
down\common_voice_en_19247998.opus,ciudad\common_voice_es_19557194.opus,0
encuentra\common_voice_es_19961433.opus,universidad\common_voice_es_20554359.opus,0
uno\common_voice_es_19779176.opus,uno\common_voice_es_19250249.opus,1
forward\common_voice_en_22413677.opus,cat\common_voice_en_15904333.opus,0
nombre\common_voice_es_18764283.opus,nombre\common_voice_es_19959317.opus,1
three\common_voice_en_19908959.opus,left\common_voice_en_20133221.opus,0
four\common_voice_en_19344601.opus,forward\common_voice_en_19258571.opus,0
tree\common_voice_en_502856.opus,tree\common_voice_en_17551883.opus,1
número\common_voice_es_20746574.opus,número\common_voice_es_19580707.opus,1
juego\common_voice_es_19608077.opus,visual\common_voice_en_133680.opus,0
seven\common_voice_en_89111.opus,four\common_voice_en_21759862.opus,0
off\common_voice_en_18839680.opus,zero\common_voice_en_20691547.opus,0
tiempo\common_voice_es_19641172.opus,tiempo\common_voice_es_19723379.opus,1
cat\common_voice_en_19469727.opus,color\common_voice_es_19503219.opus,0
eight\common_voice_en_19951679.opus,eight\common_voice_en_654523.opus,1
sheila\common_voice_en_20312184.opus,color\common_voice_es_19199146.opus,0
vida\common_voice_es_20078408.opus,vida\common_voice_es_18605780.opus,1
nine\common_voice_en_515696.opus,tres\common_voice_es_19087605.opus,0
nombre\common_voice_es_20624853.opus,seven\common_voice_en_198663.opus,0
learn\common_voice_en_19062880.opus,learn\common_voice_en_17279985.opus,1
juego\common_voice_es_20244061.opus,wow\common_voice_en_17274472.opus,0
tres\common_voice_es_19697314.opus,marvin\common_voice_en_19599818.opus,0
four\common_voice_en_21410290.opus,zero\common_voice_en_18849849.opus,0
cuatro\common_voice_es_19876140.opus,yes\common_voice_en_19249193.opus,0
three\common_voice_en_20873772.opus,two\common_voice_en_662880.opus,0
wow\common_voice_en_17297178.opus,nombre\common_voice_es_19792453.opus,0
one\common_voice_en_528619.opus,one\common_voice_en_21101398.opus,1
left\common_voice_en_680319.opus,off\common_voice_en_7819.opus,0
right\common_voice_en_78743.opus,five\common_voice_en_19680983.opus,0
down\common_voice_en_22297221.opus,down\common_voice_en_676806.opus,1
canción\common_voice_es_19885102.opus,left\common_voice_en_18546151.opus,0
right\common_voice_en_3403767.opus,stop\common_voice_en_631606.opus,0
nine\common_voice_en_421980.opus,tree\common_voice_en_20860954.opus,0
backward\common_voice_en_19766402.opus,cat\common_voice_en_18335366.opus,0
follow\common_voice_en_18939576.opus,backward\common_voice_en_19946729.opus,0
ocho\common_voice_es_19203633.opus,marvin\common_voice_en_19639074.opus,0
learn\common_voice_en_654869.opus,learn\common_voice_en_19035243.opus,1
three\common_voice_en_21408874.opus,learn\common_voice_en_105225.opus,0
tiempo\common_voice_es_20667048.opus,down\common_voice_en_11860679.opus,0
three\common_voice_en_18529937.opus,three\common_voice_en_19868327.opus,1
vida\common_voice_es_20725004.opus,vida\common_voice_es_20930325.opus,1
nombre\common_voice_es_19792902.opus,follow\common_voice_en_22115587.opus,0
down\common_voice_en_574497.opus,down\common_voice_en_18405550.opus,1
cuatro\common_voice_es_20272786.opus,left\common_voice_en_678311.opus,0
eight\common_voice_en_19002366.opus,eight\common_voice_en_22465926.opus,1
tiempo\common_voice_es_19729069.opus,siete\common_voice_es_18656497.opus,0
one\common_voice_en_20498753.opus,ocho\common_voice_es_20459382.opus,0
sheila\common_voice_en_19546352.opus,nombre\common_voice_es_19971093.opus,0
four\common_voice_en_663036.opus,wow\common_voice_en_17255575.opus,0
canción\common_voice_es_20776321.opus,canción\common_voice_es_19717765.opus,1
zero\common_voice_en_18498126.opus,zero\common_voice_en_17966218.opus,1
ocho\common_voice_es_20623305.opus,ocho\common_voice_es_19652350.opus,1
two\common_voice_en_22178565.opus,two\common_voice_en_682653.opus,1
dog\common_voice_en_615907.opus,color\common_voice_es_20708600.opus,0
six\common_voice_en_17474269.opus,six\common_voice_en_17931821.opus,1
sheila\common_voice_en_20312184.opus,dos\common_voice_es_19129793.opus,0
cero\common_voice_es_20492979.opus,cero\common_voice_es_19778135.opus,1
tres\common_voice_es_20812010.opus,tres\common_voice_es_20752263.opus,1
seis\common_voice_es_19635496.opus,cinco\common_voice_es_20323865.opus,0
yes\common_voice_en_530214.opus,yes\common_voice_en_105979.opus,1
marvin\common_voice_en_19471438.opus,marvin\common_voice_en_21507533.opus,1
yes\common_voice_en_18342320.opus,yes\common_voice_en_18607517.opus,1
bird\common_voice_en_18672519.opus,bird\common_voice_en_691758.opus,1
tres\common_voice_es_19980984.opus,wow\common_voice_en_17576849.opus,0
five\common_voice_en_575891.opus,learn\common_voice_en_138503.opus,0
stop\common_voice_en_10586948.opus,stop\common_voice_en_20241862.opus,1
forward\common_voice_en_490765.opus,forward\common_voice_en_613576.opus,1
color\common_voice_es_19645904.opus,happy\common_voice_en_18305574.opus,0
número\common_voice_es_18959143.opus,número\common_voice_es_18728400.opus,1
follow\common_voice_en_2861.opus,visual\common_voice_en_20475194.opus,0
eight\common_voice_en_20600834.opus,four\common_voice_en_18907957.opus,0
seis\common_voice_es_19636630.opus,down\common_voice_en_21284908.opus,0
house\common_voice_en_17925685.opus,house\common_voice_en_17715427.opus,1
two\common_voice_en_21942814.opus,two\common_voice_en_21704772.opus,1
five\common_voice_en_97599.opus,yes\common_voice_en_17255209.opus,0
seven\common_voice_en_404721.opus,right\common_voice_en_19181712.opus,0
forward\common_voice_en_148713.opus,dos\common_voice_es_20005886.opus,0
sheila\common_voice_en_19546352.opus,eight\common_voice_en_19791501.opus,0
dog\common_voice_en_58034.opus,uno\common_voice_es_20631332.opus,0
follow\common_voice_en_93129.opus,two\common_voice_en_168976.opus,0
dog\common_voice_en_595072.opus,dog\common_voice_en_545093.opus,1
cuatro\common_voice_es_20600891.opus,seven\common_voice_en_17414363.opus,0
zero\common_voice_en_17906143.opus,bird\common_voice_en_21793486.opus,0
stop\common_voice_en_455137.opus,wow\common_voice_en_17551928.opus,0
yes\common_voice_en_491139.opus,yes\common_voice_en_18433922.opus,1
tree\common_voice_en_20519839.opus,zero\common_voice_en_17283571.opus,0
tree\common_voice_en_607882.opus,zero\common_voice_en_9347735.opus,0
bed\common_voice_en_178970.opus,bed\common_voice_en_19267175.opus,1
ocho\common_voice_es_20259048.opus,happy\common_voice_en_609265.opus,0
nueve\common_voice_es_20007954.opus,eight\common_voice_en_18152625__2.opus,0
three\common_voice_en_560090.opus,dos\common_voice_es_19438850.opus,0
yes\common_voice_en_18434488.opus,left\common_voice_en_152954.opus,0
cuatro\common_voice_es_20501558.opus,cat\common_voice_en_17703143.opus,0
ciudad\common_voice_es_19757220.opus,right\common_voice_en_19479407.opus,0
follow\common_voice_en_21713729.opus,follow\common_voice_en_17286158.opus,1
dos\common_voice_es_20937603.opus,dos\common_voice_es_20310993.opus,1
stop\common_voice_en_17286720.opus,stop\common_voice_en_89487.opus,1
color\common_voice_es_20588705.opus,vida\common_voice_es_20592241.opus,0
tree\common_voice_en_18122407.opus,tree\common_voice_en_520563.opus,1
happy\common_voice_en_647417.opus,happy\common_voice_en_670027.opus,1
número\common_voice_es_20630164.opus,encuentra\common_voice_es_19947664.opus,0
ciudad\common_voice_es_19719626.opus,color\common_voice_es_20265223.opus,0
two\common_voice_en_518278.opus,dos\common_voice_es_19764971.opus,0
visual\common_voice_en_20902079.opus,visual\common_voice_en_20024044.opus,1
bed\common_voice_en_20768763.opus,bed\common_voice_en_17257374.opus,1
marvin\common_voice_en_21096341.opus,ciudad\common_voice_es_20717829.opus,0
cero\common_voice_es_20501700.opus,color\common_voice_es_19869276.opus,0
dog\common_voice_en_664018.opus,dog\common_voice_en_18993045.opus,1
five\common_voice_en_21541289.opus,zero\common_voice_en_559262.opus,0
universidad\common_voice_es_20079510__2.opus,bird\common_voice_en_20581488.opus,0
uno\common_voice_es_19686459.opus,uno\common_voice_es_19040760.opus,1
right\common_voice_en_609213.opus,right\common_voice_en_556910.opus,1
visual\common_voice_en_19190211.opus,nombre\common_voice_es_20271711.opus,0
backward\common_voice_en_18854341.opus,backward\common_voice_en_20975538.opus,1
nombre\common_voice_es_20851439.opus,nombre\common_voice_es_20333027.opus,1
learn\common_voice_en_120050.opus,learn\common_voice_en_167297.opus,1
tiempo\common_voice_es_20601779.opus,five\common_voice_en_21944504.opus,0
encuentra\common_voice_es_19516459.opus,universidad\common_voice_es_19537624.opus,0
vida\common_voice_es_19667692.opus,vida\common_voice_es_20567527.opus,1
two\common_voice_en_106888.opus,follow\common_voice_en_577499.opus,0
four\common_voice_en_502412.opus,sheila\common_voice_en_18890773.opus,0
nombre\common_voice_es_19613290.opus,one\common_voice_en_527980.opus,0
wow\common_voice_en_317215.opus,stop\common_voice_en_21169699.opus,0
uno\common_voice_es_19487065.opus,dog\common_voice_en_18065956.opus,0
tres\common_voice_es_19145835.opus,nine\common_voice_en_19629665.opus,0
dos\common_voice_es_20178668.opus,nombre\common_voice_es_20308371.opus,0
zero\common_voice_en_189866.opus,ciudad\common_voice_es_20932294.opus,0
house\common_voice_en_20219362.opus,dog\common_voice_en_19497338.opus,0
six\common_voice_en_520839.opus,eight\common_voice_en_18887101.opus,0
nine\common_voice_en_20863586.opus,sheila\common_voice_en_20141988.opus,0
three\common_voice_en_20283724.opus,three\common_voice_en_629574.opus,1
five\common_voice_en_22378062.opus,five\common_voice_en_621997.opus,1
five\common_voice_en_21204450.opus,five\common_voice_en_679794.opus,1
ocho\common_voice_es_20706728.opus,ocho\common_voice_es_19687593.opus,1
two\common_voice_en_216342.opus,nueve\common_voice_es_19598070.opus,0
happy\common_voice_en_18668356.opus,ciudad\common_voice_es_19723123.opus,0
cero\common_voice_es_18320021.opus,cero\common_voice_es_20706569.opus,1
yes\common_voice_en_18649842.opus,yes\common_voice_en_484591.opus,1
wow\common_voice_en_17254448.opus,color\common_voice_es_20280695.opus,0
two\common_voice_en_594781.opus,two\common_voice_en_641157.opus,1
forward\common_voice_en_19327020.opus,siete\common_voice_es_19756057.opus,0
follow\common_voice_en_18695162.opus,nine\common_voice_en_20068533.opus,0
left\common_voice_en_188450.opus,left\common_voice_en_17411271.opus,1
dog\common_voice_en_486528.opus,dog\common_voice_en_156251.opus,1
juego\common_voice_es_19490181.opus,juego\common_voice_es_20453267.opus,1
dog\common_voice_en_499800.opus,left\common_voice_en_539998.opus,0
color\common_voice_es_19287318.opus,bird\common_voice_en_19351474.opus,0
bed\common_voice_en_18542919.opus,bed\common_voice_en_46458.opus,1
número\common_voice_es_19135327.opus,número\common_voice_es_20526321.opus,1
bed\common_voice_en_2378745.opus,uno\common_voice_es_19271343.opus,0
house\common_voice_en_479063.opus,visual\common_voice_en_21684364.opus,0
four\common_voice_en_19259949.opus,two\common_voice_en_20026790.opus,0
forward\common_voice_en_21273140.opus,two\common_voice_en_501388.opus,0
six\common_voice_en_657476.opus,six\common_voice_en_20190338.opus,1
learn\common_voice_en_49092.opus,cat\common_voice_en_564306.opus,0
cuatro\common_voice_es_20172047.opus,cuatro\common_voice_es_20669530.opus,1
wow\common_voice_en_18006606.opus,wow\common_voice_en_20995023.opus,1
encuentra\common_voice_es_19133432.opus,juego\common_voice_es_19737373.opus,0
three\common_voice_en_25647.opus,three\common_voice_en_20392797.opus,1
cuatro\common_voice_es_19609064.opus,tiempo\common_voice_es_19286593.opus,0
uno\common_voice_es_20270667.opus,house\common_voice_en_96306.opus,0
yes\common_voice_en_18434039.opus,down\common_voice_en_68604.opus,0
two\common_voice_en_6234059.opus,two\common_voice_en_19818067.opus,1
backward\common_voice_en_20162676.opus,backward\common_voice_en_19766402.opus,1
canción\common_voice_es_20936777.opus,nueve\common_voice_es_20549412.opus,0
yes\common_voice_en_253736.opus,yes\common_voice_en_18586688.opus,1
bed\common_voice_en_76222.opus,bed\common_voice_en_17267558.opus,1
nueve\common_voice_es_19607361.opus,nueve\common_voice_es_20262086.opus,1
ocho\common_voice_es_20669543.opus,tiempo\common_voice_es_20037634.opus,0
zero\common_voice_en_19636269.opus,nine\common_voice_en_22187318.opus,0
stop\common_voice_en_18762618.opus,bird\common_voice_en_18554772.opus,0
visual\common_voice_en_19020917.opus,visual\common_voice_en_22381758.opus,1
down\common_voice_en_633024.opus,left\common_voice_en_481875.opus,0
happy\common_voice_en_513565.opus,right\common_voice_en_17255358.opus,0
happy\common_voice_en_201331.opus,ocho\common_voice_es_20855215.opus,0
follow\common_voice_en_18726345.opus,cero\common_voice_es_19948264.opus,0
dog\common_voice_en_19199244.opus,four\common_voice_en_19961964.opus,0
color\common_voice_es_19744271.opus,color\common_voice_es_18758047.opus,1
zero\common_voice_en_21305110.opus,happy\common_voice_en_75788.opus,0
four\common_voice_en_22328969.opus,four\common_voice_en_21708880.opus,1
four\common_voice_en_21595873.opus,four\common_voice_en_19466908.opus,1
cinco\common_voice_es_20021012.opus,cinco\common_voice_es_20764974.opus,1
happy\common_voice_en_666567.opus,happy\common_voice_en_31388.opus,1
cat\common_voice_en_18113923.opus,four\common_voice_en_19693265.opus,0
down\common_voice_en_21798417.opus,down\common_voice_en_18575349.opus,1
visual\common_voice_en_19741144.opus,tree\common_voice_en_110755.opus,0
two\common_voice_en_18087456.opus,cero\common_voice_es_18790164.opus,0
ciudad\common_voice_es_20234361.opus,house\common_voice_en_549213.opus,0
yes\common_voice_en_541459.opus,siete\common_voice_es_20764045.opus,0
three\common_voice_en_20571973.opus,one\common_voice_en_17914141.opus,0
número\common_voice_es_20765587.opus,uno\common_voice_es_20600904.opus,0
visual\common_voice_en_19190211.opus,seven\common_voice_en_652743.opus,0
cuatro\common_voice_es_19646824.opus,six\common_voice_en_125127.opus,0
dog\common_voice_en_19664610.opus,vida\common_voice_es_20374053.opus,0
vida\common_voice_es_19608390.opus,vida\common_voice_es_20669781.opus,1
ciudad\common_voice_es_20240224.opus,yes\common_voice_en_18416100.opus,0
cuatro\common_voice_es_19611779.opus,cuatro\common_voice_es_19954992.opus,1
five\common_voice_en_339544.opus,five\common_voice_en_21402167.opus,1
five\common_voice_en_19876416.opus,five\common_voice_en_20601406.opus,1
ocho\common_voice_es_19381770.opus,yes\common_voice_en_18627248__2.opus,0
ciudad\common_voice_es_20288903.opus,bird\common_voice_en_141415.opus,0
dog\common_voice_en_17824662.opus,dog\common_voice_en_667089.opus,1
three\common_voice_en_22323951.opus,uno\common_voice_es_19818809__2.opus,0
visual\common_voice_en_21025009.opus,three\common_voice_en_119409.opus,0
seis\common_voice_es_20594379.opus,seis\common_voice_es_20724444.opus,1
canción\common_voice_es_20630657.opus,cero\common_voice_es_18629699.opus,0
ciudad\common_voice_es_20937655.opus,ciudad\common_voice_es_20596362.opus,1
tree\common_voice_en_19002412.opus,tree\common_voice_en_20735823.opus,1
cat\common_voice_en_18144782.opus,dos\common_voice_es_20414062.opus,0
marvin\common_voice_en_22361220.opus,marvin\common_voice_en_22439491.opus,1
nombre\common_voice_es_20454387.opus,nombre\common_voice_es_20247844.opus,1
right\common_voice_en_669216.opus,tres\common_voice_es_20286064.opus,0
canción\common_voice_es_20301654.opus,canción\common_voice_es_20573105.opus,1
nine\common_voice_en_19495223.opus,uno\common_voice_es_20263473.opus,0
vida\common_voice_es_20314882.opus,seis\common_voice_es_19044126.opus,0
dos\common_voice_es_20601107.opus,visual\common_voice_en_19124623.opus,0
dog\common_voice_en_499744.opus,dog\common_voice_en_616060.opus,1
stop\common_voice_en_18125766.opus,off\common_voice_en_151052.opus,0
cat\common_voice_en_18433602.opus,cat\common_voice_en_14284828.opus,1
happy\common_voice_en_19029060.opus,happy\common_voice_en_529019.opus,1
número\common_voice_es_20597089.opus,ciudad\common_voice_es_20020869.opus,0
dog\common_voice_en_610250.opus,forward\common_voice_en_1307.opus,0
cuatro\common_voice_es_20429575.opus,tiempo\common_voice_es_18758048.opus,0
forward\common_voice_en_628446.opus,siete\common_voice_es_20917383.opus,0
dos\common_voice_es_20927733.opus,dos\common_voice_es_19047943.opus,1
sheila\common_voice_en_19231934.opus,sheila\common_voice_en_19687885.opus,1
seis\common_voice_es_19630625.opus,bird\common_voice_en_17279249.opus,0
down\common_voice_en_69616.opus,tres\common_voice_es_19907946.opus,0
six\common_voice_en_17863655.opus,six\common_voice_en_20923770.opus,1
stop\common_voice_en_17261081.opus,six\common_voice_en_658299.opus,0
tiempo\common_voice_es_20535257.opus,tiempo\common_voice_es_18355600.opus,1
down\common_voice_en_211125.opus,down\common_voice_en_17273894.opus,1
six\common_voice_en_21021140.opus,bird\common_voice_en_214827.opus,0
vida\common_voice_es_18530074.opus,uno\common_voice_es_19218151.opus,0
happy\common_voice_en_83389.opus,happy\common_voice_en_528364.opus,1
color\common_voice_es_20246848.opus,color\common_voice_es_20413819.opus,1
cinco\common_voice_es_18339895.opus,backward\common_voice_en_20114505.opus,0
learn\common_voice_en_17863884.opus,uno\common_voice_es_19375436.opus,0
cuatro\common_voice_es_20104727.opus,nombre\common_voice_es_20086695.opus,0
ocho\common_voice_es_20862333.opus,ocho\common_voice_es_20714076.opus,1
wow\common_voice_en_129329.opus,wow\common_voice_en_17824959.opus,1
siete\common_voice_es_20745912.opus,zero\common_voice_en_71955.opus,0
left\common_voice_en_17976524.opus,left\common_voice_en_41383.opus,1
ocho\common_voice_es_19725553.opus,ocho\common_voice_es_20782507.opus,1
one\common_voice_en_19289539.opus,one\common_voice_en_17285389__2.opus,1
bed\common_voice_en_16048005.opus,bed\common_voice_en_20178410.opus,1
uno\common_voice_es_20823290.opus,uno\common_voice_es_19633080.opus,1
número\common_voice_es_20102459.opus,left\common_voice_en_698837.opus,0
cero\common_voice_es_20367878.opus,color\common_voice_es_20745532.opus,0
tres\common_voice_es_19721841.opus,tres\common_voice_es_20655008.opus,1
dog\common_voice_en_21304810.opus,dog\common_voice_en_19912825.opus,1
nine\common_voice_en_480703.opus,dog\common_voice_en_491876.opus,0
off\common_voice_en_19553561.opus,off\common_voice_en_138718.opus,1
cinco\common_voice_es_19584369.opus,cinco\common_voice_es_20524686.opus,1
down\common_voice_en_562391.opus,learn\common_voice_en_23633.opus,0
tree\common_voice_en_19726976.opus,tree\common_voice_en_540935.opus,1
stop\common_voice_en_20801248.opus,color\common_voice_es_19962822.opus,0
off\common_voice_en_195056.opus,stop\common_voice_en_686197.opus,0
cero\common_voice_es_19778135.opus,yes\common_voice_en_18355824.opus,0
siete\common_voice_es_20273992.opus,siete\common_voice_es_20740851.opus,1
dos\common_voice_es_18695814.opus,tree\common_voice_en_19995477.opus,0
seven\common_voice_en_18116064.opus,ciudad\common_voice_es_20306403.opus,0
dog\common_voice_en_19610883.opus,dog\common_voice_en_116696.opus,1
learn\common_voice_en_639034.opus,learn\common_voice_en_617178.opus,1
encuentra\common_voice_es_19370225.opus,visual\common_voice_en_133680.opus,0
five\common_voice_en_19453922.opus,nueve\common_voice_es_19815115.opus,0
backward\common_voice_en_20162676.opus,backward\common_voice_en_20039344.opus,1
bird\common_voice_en_17448535.opus,tiempo\common_voice_es_19626573.opus,0
encuentra\common_voice_es_20722181.opus,encuentra\common_voice_es_19348973.opus,1
left\common_voice_en_18661392.opus,left\common_voice_en_19152215.opus,1
house\common_voice_en_19673624.opus,yes\common_voice_en_17353432.opus,0
learn\common_voice_en_108766.opus,learn\common_voice_en_32067.opus,1
color\common_voice_es_19961555.opus,color\common_voice_es_20292791.opus,1
uno\common_voice_es_20665640.opus,nueve\common_voice_es_20568187.opus,0
off\common_voice_en_494498.opus,off\common_voice_en_168739.opus,1
juego\common_voice_es_19599807.opus,cat\common_voice_en_18090933.opus,0
dos\common_voice_es_20046666.opus,eight\common_voice_en_455144.opus,0
nombre\common_voice_es_19445938.opus,off\common_voice_en_21244087.opus,0
juego\common_voice_es_20696214.opus,encuentra\common_voice_es_20091966.opus,0
follow\common_voice_en_119790.opus,stop\common_voice_en_18648591.opus,0
seis\common_voice_es_19967931.opus,house\common_voice_en_18444238.opus,0
eight\common_voice_en_18412103.opus,encuentra\common_voice_es_20543008.opus,0
dos\common_voice_es_19613905.opus,dos\common_voice_es_20312300.opus,1
nombre\common_voice_es_20766436.opus,tres\common_voice_es_19510581.opus,0
bed\common_voice_en_131409.opus,three\common_voice_en_18678731.opus,0
bed\common_voice_en_550738.opus,bed\common_voice_en_203346.opus,1
vida\common_voice_es_20772457.opus,vida\common_voice_es_20937607.opus,1
cero\common_voice_es_18956273.opus,cero\common_voice_es_20331430.opus,1
bird\common_voice_en_383294.opus,cero\common_voice_es_18688833.opus,0
six\common_voice_en_20884089.opus,dog\common_voice_en_204336.opus,0
seven\common_voice_en_20027512.opus,seven\common_voice_en_20019686.opus,1
juego\common_voice_es_19135587.opus,universidad\common_voice_es_20766783.opus,0
one\common_voice_en_17247689.opus,one\common_voice_en_186174.opus,1
color\common_voice_es_19694848.opus,color\common_voice_es_20305971.opus,1
house\common_voice_en_149441.opus,siete\common_voice_es_20891911.opus,0
five\common_voice_en_22108718.opus,three\common_voice_en_18861560.opus,0
canción\common_voice_es_19628222.opus,siete\common_voice_es_20347918.opus,0
two\common_voice_en_18836102.opus,one\common_voice_en_550330.opus,0
nombre\common_voice_es_20089338.opus,five\common_voice_en_18770706.opus,0
cuatro\common_voice_es_19184720.opus,cuatro\common_voice_es_19601391.opus,1
cinco\common_voice_es_20280022.opus,cero\common_voice_es_20285500.opus,0
marvin\common_voice_en_19557280.opus,marvin\common_voice_en_20470102.opus,1
wow\common_voice_en_1190049.opus,cat\common_voice_en_18192155.opus,0
two\common_voice_en_602650.opus,two\common_voice_en_18607939.opus,1
forward\common_voice_en_148713.opus,sheila\common_voice_en_19102622.opus,0
dog\common_voice_en_18147341.opus,dog\common_voice_en_64647.opus,1
happy\common_voice_en_20348182.opus,happy\common_voice_en_570486.opus,1
left\common_voice_en_18998619.opus,house\common_voice_en_18526065.opus,0
happy\common_voice_en_17948628.opus,happy\common_voice_en_71052.opus,1
backward\common_voice_en_20418179.opus,backward\common_voice_en_20173649.opus,1
número\common_voice_es_19682254.opus,follow\common_voice_en_19596238.opus,0
forward\common_voice_en_109011.opus,marvin\common_voice_en_22439491.opus,0
juego\common_voice_es_20297597.opus,dog\common_voice_en_597563.opus,0
right\common_voice_en_596645.opus,tree\common_voice_en_128665.opus,0
zero\common_voice_en_19697831.opus,siete\common_voice_es_20667659.opus,0
marvin\common_voice_en_18729497.opus,marvin\common_voice_en_19783575.opus,1
eight\common_voice_en_624043.opus,color\common_voice_es_19598595.opus,0
encuentra\common_voice_es_20098231.opus,cinco\common_voice_es_20309822.opus,0
two\common_voice_en_501226.opus,sheila\common_voice_en_20256826.opus,0
nueve\common_voice_es_19801315.opus,nueve\common_voice_es_20509542.opus,1
yes\common_voice_en_469295.opus,ciudad\common_voice_es_19177491.opus,0
eight\common_voice_en_17283659__2.opus,eight\common_voice_en_18152755.opus,1
vida\common_voice_es_18755722.opus,down\common_voice_en_18125581.opus,0
six\common_voice_en_20812960.opus,ciudad\common_voice_es_19978860.opus,0
tiempo\common_voice_es_19262225.opus,nine\common_voice_en_102974.opus,0
stop\common_voice_en_17297269.opus,ciudad\common_voice_es_20412764.opus,0
three\common_voice_en_22430828.opus,yes\common_voice_en_18454356.opus,0
marvin\common_voice_en_18404343.opus,happy\common_voice_en_18853749.opus,0
left\common_voice_en_89554.opus,universidad\common_voice_es_20273982.opus,0
